 ,s1,s2,s3,s4,s5,s6,s7,s8,
512m,7.45,5.31,5.98,4.35,3.91,4.07,3.82,3.54,
256m,7.27,6.47,5.72,4.77,4.10,4.27,4.02,3.54,
128m,7.28,6.59,5.82,5.00,4.67,3.97,3.94,3.55,
64m,7.45,6.93,5.98,4.91,4.47,3.93,3.73,3.51,
32m,7.50,6.73,6.14,4.95,3.83,4.00,3.69,3.00,
16m,7.77,5.76,5.89,5.19,4.70,4.63,4.43,3.91,
8m,7.80,8.02,5.32,4.95,4.25,4.77,6.69,6.26,
4m,8.27,8.16,8.00,6.55,6.37,6.23,7.14,2.77,
2m,8.67,8.58,8.41,7.60,7.46,5.36,2.36,5.38,
1024k,8.00,7.95,7.97,7.22,7.08,6.90,6.79,6.59,
512k,8.32,8.21,8.11,7.40,7.32,7.22,7.12,6.99,
256k,8.30,8.22,8.14,7.42,7.33,7.24,7.16,7.04,
128k,8.30,8.19,8.08,7.40,7.31,7.22,7.14,7.02,
64k,8.14,8.14,8.25,8.14,8.14,8.25,8.03,8.14,
32k,8.25,8.25,8.25,8.25,8.25,8.03,8.25,8.03,
16k,8.48,8.03,8.03,8.03,8.03,7.63,8.03,8.03,
